country,country3,US,color,SPI,GDP_USD_2018,HDIrank,HDIindex,HDI_cat,happiness,genderequality_index,infantmort,birth_MF,sixty_MF,logGDP
Afghanistan,AFG,Non US,#545454,31.21,19469022208,168,0.4942397377480059,Low,4.220168590545654,NA,0.053200000000000004,62.7,16.3,23.692090434627726
Albania,ALB,Non US,#545454,70.85,11883682171,68,0.7817005590918955,High,4.511100769042969,0.703645707447106,0.0081,76.4,20.8,23.198432049911116
Algeria,DZA,Non US,#545454,65.64,159049e6,85,0.7524951334256267,High,5.340853691101074,0.641996088674862,0.021,76.4,21.9,25.792478167790772
American Samoa,ASM,Non US,#545454,NA,658e6,NA,NA,NA,NA,NA,NA,NA,NA,20.304715489289592
Andorra,AND,Non US,#545454,NA,2877311947,35,0.8558054251149887,Very High,NA,NA,0.0033,NA,NA,21.780122343514204
Angola,AGO,Non US,#545454,36.77,95337203468,147,0.5769332632357265,Medium,NA,0.643248859592326,0.055799999999999995,62.6,17.3,25.28068595409235
Antigua & Barbuda,ATG,Non US,#545454,NA,1460144704,70,0.7777269048757208,High,NA,NA,0.0056,75,19.7,21.101801380084122
Argentina,ARG,Non US,#545454,74.48,554861e6,47,0.8217587592988095,Very High,6.427221298217773,0.735213941472659,0.009699999999999999,76.9,21.8,27.041983468874445
Armenia,ARM,Non US,#545454,69.66,10546135160,83,0.7492645868098929,High,4.325471878051758,0.669264795633783,0.0119,74.8,19.6,23.079025294206204
Australia,AUS,Non US,#545454,87.66,120804e7,3,0.9378680440732646,Very High,7.250080108642578,0.721366191797363,0.0031,82.9,25.6,27.820020327475742
Austria,AUT,Non US,#545454,86.5,3908e8,20,0.9058221188119048,Very High,7.04807186126709,0.715833170064506,0.003,81.9,24.4,26.69146175711504
Azerbaijan,AZE,Non US,#545454,NA,37867518957,80,0.7569778767514419,High,5.303894996643066,0.683746916501685,0.0219,73.1,18.9,24.35735956197931
Bahamas,BHS,Non US,#545454,NA,118388e5,54,0.8063252384321128,Very High,NA,0.729054298846894,0.0060999999999999995,75.7,22.6,23.194648109914525
Bahrain,BHR,Non US,#545454,NA,32152686170,43,0.8458039876364273,Very High,6.169673442840576,0.614973758059083,0.0064,79.1,21.7,24.193761835306244
Bangladesh,BGD,Non US,#545454,50.58,221415e6,136,0.5970601916446718,Medium,4.556140899658203,0.698260026048992,0.028300000000000002,72.7,19.6,26.12330460560348
Barbados,BRB,Non US,#545454,75.45,452905e4,58,0.798810072922084,Very High,NA,0.738751343340003,0.0119,75.6,19.8,22.23377804142422
Belarus,BLR,Non US,#545454,71.02,47722657821,53,0.8049578008644142,Very High,5.177899360656738,0.73693207530788,0.0029,74.2,19.6,24.588672128790282
Belgium,BEL,Non US,#545454,86.73,467546e6,17,0.9145380307545622,Very High,6.948936462402344,0.745150454429596,0.0031,81.2,24.1,26.870763576556538
Belize,BLZ,Non US,#545454,NA,1820158550,106,0.708506635576006,High,NA,0.675864109620105,0.0128,70.5,17.1,21.322189449625405
Benin,BEN,Non US,#545454,48.01,8573159697,163,0.5120965226501945,Low,4.007357597351074,0.635570185757902,0.06509999999999999,61.1,17.2,22.871902194371085
Bhutan,BTN,Non US,#545454,64.29,2212638830,134,0.6085177661596782,Medium,NA,0.641708104826477,0.0265,70.6,20.7,21.517451680900383
Bolivia,BOL,Non US,#545454,63.49,33941126194,118,0.6888710189136826,Medium,5.769723415374756,0.745746811791012,0.029,71.5,21.4,24.247893278111235
Bosnia & Herzegovina,BIH,Non US,#545454,NA,16911088174,77,0.7658795769585522,High,5.180865287780762,0.685045903324522,0.0050999999999999995,77.3,20.7,23.551235348703084
Botswana,BWA,Non US,#545454,61.95,15648700274,101,0.712170623292188,High,3.498936653137207,0.714995453798085,0.032299999999999995,66.1,17.4,23.473653700899103
Brazil,BRA,Non US,#545454,73.91,179399e7,79,0.7581762474291328,High,6.374817371368408,0.687305173804868,0.0146,75.1,21.7,28.215463305413607
Brunei,BRN,Non US,#545454,NA,11400653960,39,0.8524184233561918,Very High,NA,0.668593786571023,0.009,76.4,20.4,23.15693655561384
Bulgaria,BGR,Non US,#545454,74.24,53240893665,51,0.8095956041141686,Very High,4.837560653686523,0.725710839378402,0.0067,74.8,19.8,24.698092615925983
Burkina Faso,BFA,Non US,#545454,43.07,11448781714,183,0.42021153170421266,Low,4.205634593963623,0.63960518464973,0.0526,60.3,15.5,23.161149160761706
Burundi,BDI,Non US,#545454,37.63,3007029030,185,0.41771547753681665,Low,NA,0.767521929857351,0.0441,60.1,16.6,21.824218395046543
Cambodia,KHM,Non US,#545454,47.09,20016747754,146,0.5762203625157908,Medium,4.461259365081787,0.658072016852354,0.0263,69.4,17.4,23.71983514778693
Cameroon,CMR,Non US,#545454,44.5,32217537943,151,0.5529673365211704,Medium,4.816232204437256,0.684065980102721,0.056600000000000004,58.1,16.5,24.195776797840104
Canada,CAN,Non US,#545454,87.65,153577e7,12,0.9222756302756803,Very High,7.244845867156982,0.730934531732342,0.0046,82.8,25.7,28.060052999858605
Cape Verde,CPV,Non US,#545454,66.42,1638927336,125,0.6517521126344765,Medium,NA,0.72917029417646,0.0159,73.2,18.6,21.217307801375092
Central African Republic,CAF,Non US,#545454,26.01,1755468137,188,0.36220136475364745,Low,2.693061113357544,NA,0.0892,53,16,21.286001403023533
Chad,TCD,Non US,#545454,26.92,9412034269,186,0.40530628922982864,Low,4.029350280761719,0.58669275278511,0.075,54.3,15.9,22.965254948795124
Chile,CHL,Non US,#545454,80.47,250036e6,44,0.8415329699937913,Very High,6.579056262969971,0.69940086236962,0.0066,79.5,23.4,26.244870744441652
China,CHN,Non US,#545454,62.67,11191e9,86,0.7479097838809821,High,5.324955940246582,0.675823711108177,0.0086,76.4,19.9,30.04613099976444
Colombia,COL,Non US,#545454,70.58,280091e6,90,0.7466609659990139,High,6.233715057373047,0.726711886397693,0.013099999999999999,75.1,21.8,26.3583803873146
Comoros,COM,Non US,#545454,52.24,616654490.4,165,0.5023231335017502,Low,NA,NA,0.0536,63.9,16.3,20.239819441876296
Congo - Brazzaville,COG,Non US,#545454,44.98,7833508879,137,0.6116867735290848,Medium,4.11949348449707,NA,0.0358,64.3,17.6,22.781676379262418
Congo - Kinshasa,COD,Non US,#545454,34.97,34991160100,176,0.4523197633835507,Low,4.52193546295166,NA,0.0721,60.5,16.9,24.278361297963585
Cook Islands,COK,Non US,#545454,NA,NA,NA,NA,NA,NA,NA,0.0067,NA,NA,NA
Costa Rica,CRI,Non US,#545454,80.97,56988989897,63,0.7909195209615656,High,7.135617733001709,0.736218638195334,0.008,79.6,24.1,24.766123926421468
Côte d’Ivoire,CIV,Non US,#545454,45.99,36374849865,NA,NA,NA,NA,NA,NA,NA,NA,24.31714343500687
Croatia,HRV,Non US,#545454,78.32,51338524831,46,0.8277577378058478,Very High,5.41687536239624,0.699881023493802,0.004,78.3,21.5,24.661707278649754
Cuba,CUB,Non US,#545454,68.52,NA,73,0.7741764981005748,High,NA,0.740025079693818,0.004200000000000001,79,22.7,NA
